"age_group";"vac_number";"vac_exposure_date";"n";"n_total";"cum_sum"
"50-59";"Dose One";2021-05-16;228;18844;0.48795372532371
"50-59";"Dose One";2021-05-17;195;18844;0.498301846741668
"50-59";"Dose One";2021-05-18;571;18844;0.528603268945022
"50-59";"Dose One";2021-05-19;540;18844;0.557259605179367
"50-59";"Dose One";2021-05-20;545;18844;0.586181277860327
"50-59";"Dose One";2021-05-21;369;18844;0.605763107620463
"50-59";"Dose One";2021-05-22;149;18844;0.613670133729569
"50-59";"Dose One";2021-05-23;57;18844;0.616694969220972
"50-59";"Dose One";2021-05-24;62;18844;0.61998514115899
"50-59";"Dose One";2021-05-25;296;18844;0.635693058798557
"50-59";"Dose One";2021-05-26;267;18844;0.649862025047761
"50-59";"Dose One";2021-05-27;350;18844;0.668435576310762
"50-59";"Dose One";2021-05-28;215;18844;0.679845043515177
"50-59";"Dose One";2021-05-29;99;18844;0.685098705158141
"50-59";"Dose One";2021-05-30;43;18844;0.687380598599024
"50-59";"Dose One";2021-05-31;104;18844;0.692899596688601
"50-59";"Dose One";2021-06-01;169;18844;0.701867968584165
"50-59";"Dose One";2021-06-02;230;18844;0.714073445128423
"50-59";"Dose One";2021-06-03;261;18844;0.72792400764169
"50-59";"Dose One";2021-06-04;203;18844;0.738696667374231
"50-59";"Dose One";2021-06-05;88;18844;0.743366588834642
"50-59";"Dose One";2021-06-06;48;18844;0.74591381872214
"50-59";"Dose One";2021-06-07;218;18844;0.757482487794523
"50-59";"Dose One";2021-06-08;100;18844;0.76278921672681
"50-59";"Dose One";2021-06-09;80;18844;0.767034599872639
"50-59";"Dose One";2021-06-10;94;18844;0.772022925068988
"50-59";"Dose One";2021-06-11;174;18844;0.781256633411165
"50-59";"Dose One";2021-06-12;21;18844;0.782371046486945
"50-59";"Dose One";2021-06-13;16;18844;0.783220123116111
"50-59";"Dose One";2021-06-14;54;18844;0.786085756739546
"50-59";"Dose One";2021-06-15;60;18844;0.789269794098917
"50-59";"Dose One";2021-06-16;59;18844;0.792400764168966
"50-59";"Dose One";2021-06-17;56;18844;0.795372532371046
"50-59";"Dose One";2021-06-18;59;18844;0.798503502441095
"50-59";"Dose One";2021-06-19;24;18844;0.799777117384844
"50-59";"Dose One";2021-06-20;10;18844;0.800307790278073
"50-59";"Dose One";2021-06-21;36;18844;0.802218212693696
"50-59";"Dose One";2021-06-22;44;18844;0.804553173423902
"50-59";"Dose One";2021-06-23;33;18844;0.806304393971556
"50-59";"Dose One";2021-06-24;3;18844;0.806463595839525
"50-59";"Dose One";2021-06-25;22;18844;0.807631076204627
"50-59";"Dose One";2021-06-26;8;18844;0.80805561451921
"50-59";"Dose One";2021-06-27;7;18844;0.80842708554447
"50-59";"Dose One";2021-06-28;23;18844;0.809647633198896
"50-59";"Dose One";2021-06-29;24;18844;0.810921248142645
"50-59";"Dose One";2021-06-30;39;18844;0.812990872426236
"50-59";"Dose One";2021-07-01;31;18844;0.814635958395245
"50-59";"Dose One";2021-07-02;18;18844;0.815591169603057
"50-59";"Dose One";2021-07-03;9;18844;0.816068775206962
"50-59";"Dose One";2021-07-04;4;18844;0.816281044364254
"50-59";"Dose One";2021-07-05;6;18844;0.816599448100191
"50-59";"Dose One";2021-07-06;17;18844;0.81750159201868
"50-59";"Dose One";2021-07-07;13;18844;0.818191466779877
"50-59";"Dose One";2021-07-08;18;18844;0.819146677987688
"50-59";"Dose One";2021-07-09;24;18844;0.820420292931437
"50-59";"Dose One";2021-07-10;4;18844;0.820632562088728
"50-59";"Dose One";2021-07-11;4;18844;0.82084483124602
"50-59";"Dose One";2021-07-12;13;18844;0.821534706007217
"50-59";"Dose One";2021-07-13;10;18844;0.822065378900446
"50-59";"Dose One";2021-07-14;21;18844;0.823179791976226
"50-59";"Dose One";2021-07-15;28;18844;0.824665676077266
"50-59";"Dose One";2021-07-16;19;18844;0.8256739545744
"50-59";"Dose One";2021-07-17;3;18844;0.825833156442369
"50-59";"Dose One";2021-07-18;2;18844;0.825939291021015
"50-59";"Dose One";2021-07-19;5;18844;0.826204627467629
"50-59";"Dose One";2021-07-20;16;18844;0.827053704096795
"50-59";"Dose One";2021-07-21;11;18844;0.827637444279346
"50-59";"Dose One";2021-07-22;19;18844;0.828645722776481
"50-59";"Dose One";2021-07-23;22;18844;0.829813203141584
"50-59";"Dose One";2021-07-24;1;18844;0.829866270430906
"50-59";"Dose One";2021-07-25;5;18844;0.830131606877521
"50-59";"Dose One";2021-07-26;10;18844;0.830662279770749
"50-59";"Dose One";2021-07-27;7;18844;0.831033750796009
"50-59";"Dose One";2021-07-28;16;18844;0.831882827425175
"50-59";"Dose One";2021-07-29;9;18844;0.832360433029081
"50-59";"Dose One";2021-07-30;13;18844;0.833050307790278
"50-59";"Dose One";2021-07-31;2;18844;0.833156442368924
"50-59";"Dose One";2021-08-01;2;18844;0.83326257694757
"50-59";"Dose One";2021-08-02;10;18844;0.833793249840798
"50-59";"Dose One";2021-08-03;10;18844;0.834323922734027
"50-59";"Dose One";2021-08-04;23;18844;0.835544470388453
"50-59";"Dose One";2021-08-05;16;18844;0.836393547017618
"50-59";"Dose One";2021-08-06;18;18844;0.83734875822543
"50-59";"Dose One";2021-08-07;1;18844;0.837401825514753
"50-59";"Dose One";2021-08-08;2;18844;0.837507960093398
"50-59";"Dose One";2021-08-09;7;18844;0.837879431118658
"50-59";"Dose One";2021-08-10;18;18844;0.83883464232647
"50-59";"Dose One";2021-08-11;21;18844;0.83994905540225
"50-59";"Dose One";2021-08-12;13;18844;0.840638930163447
"50-59";"Dose One";2021-08-13;20;18844;0.841700275949904
"50-59";"Dose One";2021-08-14;9;18844;0.84217788155381
"50-59";"Dose One";2021-08-15;2;18844;0.842284016132456
"50-59";"Dose One";2021-08-16;23;18844;0.843504563786882
"50-59";"Dose One";2021-08-17;15;18844;0.844300573126725
"50-59";"Dose One";2021-08-18;18;18844;0.845255784334536
"50-59";"Dose One";2021-08-19;17;18844;0.846157928253025
"50-59";"Dose One";2021-08-20;17;18844;0.847060072171513
"50-59";"Dose One";2021-08-22;1;18844;0.847113139460836
"50-59";"Dose One";2021-08-23;6;18844;0.847431543196773
"50-59";"Dose One";2021-08-24;10;18844;0.847962216090002
"50-59";"Dose One";2021-08-25;15;18844;0.848758225429845
"50-59";"Dose One";2021-08-26;6;18844;0.849076629165782
"50-59";"Dose One";2021-08-27;14;18844;0.849819571216302
"50-59";"Dose One";2021-08-29;1;18844;0.849872638505625
"50-59";"Dose One";2021-08-30;5;18844;0.850137974952239
"50-59";"Dose One";2021-08-31;8;18844;0.850562513266822
"50-59";"Dose One";2021-09-01;2;18844;0.850668647845468
"50-59";"Dose One";2021-09-02;5;18844;0.850933984292082
"50-59";"Dose One";2021-09-03;9;18844;0.851411589895988
"50-59";"Dose One";2021-09-06;5;18844;0.851676926342602
"50-59";"Dose One";2021-09-07;6;18844;0.85199533007854
"50-59";"Dose One";2021-09-08;6;18844;0.852313733814477
"50-59";"Dose One";2021-09-09;9;18844;0.852791339418382
"50-59";"Dose One";2021-09-10;5;18844;0.853056675864997
"50-59";"Dose One";2021-09-13;1;18844;0.85310974315432
"50-59";"Dose One";2021-09-14;13;18844;0.853799617915517
"50-59";"Dose One";2021-09-15;7;18844;0.854171088940777
"50-59";"Dose One";2021-09-16;5;18844;0.854436425387391
"50-59";"Dose One";2021-09-17;3;18844;0.85459562725536
"50-59";"Dose One";2021-09-18;1;18844;0.854648694544683
"50-59";"Dose One";2021-09-20;3;18844;0.854807896412651
"50-59";"Dose One";2021-09-21;2;18844;0.854914030991297
"50-59";"Dose One";2021-09-22;6;18844;0.855232434727234
"50-59";"Dose One";2021-09-23;5;18844;0.855497771173848
"50-59";"Dose One";2021-09-24;2;18844;0.855603905752494
"50-59";"Dose One";2021-09-25;1;18844;0.855656973041817
"50-59";"Dose One";2021-09-28;4;18844;0.855869242199108
"50-59";"Dose One";2021-09-29;5;18844;0.856134578645723
"50-59";"Dose One";2021-09-30;8;18844;0.856559116960306
"50-59";"Dose One";2021-10-01;1;18844;0.856612184249628
"50-59";"Dose One";2021-10-02;2;18844;0.856718318828274
"50-59";"Dose One";2021-10-05;1;18844;0.856771386117597
"50-59";"Dose One";2021-10-06;3;18844;0.856930587985566
"50-59";"Dose One";2021-10-07;4;18844;0.857142857142857
"50-59";"Dose One";2021-10-08;3;18844;0.857302059010826
"50-59";"Dose One";2021-10-11;1;18844;0.857355126300149
"50-59";"Dose One";2021-10-14;2;18844;0.857461260878794
"50-59";"Dose One";2021-10-15;3;18844;0.857620462746763
"50-59";"Dose One";2021-10-19;2;18844;0.857726597325409
"50-59";"Dose One";2021-10-20;2;18844;0.857832731904054
"50-59";"Dose One";2021-10-21;1;18844;0.857885799193377
"50-59";"Dose One";2021-10-22;4;18844;0.858098068350669
"50-59";"Dose One";2021-10-23;1;18844;0.858151135639991
"50-59";"Dose One";2021-10-26;2;18844;0.858257270218637
"50-59";"Dose One";2021-10-28;6;18844;0.858575673954574
"50-59";"Dose One";2021-10-30;1;18844;0.858628741243897
"50-59";"Dose One";2021-11-03;1;18844;0.85868180853322
"50-59";"Dose One";2021-11-04;3;18844;0.858841010401189
"50-59";"Dose One";2021-11-05;2;18844;0.858947144979834
"50-59";"Dose One";2021-11-07;1;18844;0.859000212269157
"50-59";"Dose One";2021-11-08;1;18844;0.85905327955848
"50-59";"Dose One";2021-11-10;1;18844;0.859106346847803
"50-59";"Dose One";2021-11-11;2;18844;0.859212481426449
"50-59";"Dose One";2021-11-12;4;18844;0.85942475058374
"50-59";"Dose One";2021-11-13;1;18844;0.859477817873063
"50-59";"Dose One";2021-11-15;2;18844;0.859583952451709
"50-59";"Dose One";2021-11-17;2;18844;0.859690087030355
"50-59";"Dose One";2021-11-18;3;18844;0.859849288898323
"50-59";"Dose One";2021-11-19;5;18844;0.860114625344937
"50-59";"Dose One";2021-11-22;1;18844;0.86016769263426
"50-59";"Dose One";2021-11-23;7;18844;0.86053916365952
"50-59";"Dose One";2021-11-24;6;18844;0.860857567395457
"50-59";"Dose One";2021-11-25;6;18844;0.861175971131395
"50-59";"Dose One";2021-11-26;4;18844;0.861388240288686
"50-59";"Dose One";2021-11-27;2;18844;0.861494374867332
"50-59";"Dose One";2021-11-29;7;18844;0.861865845892592
"50-59";"Dose One";2021-11-30;6;18844;0.862184249628529
"50-59";"Dose One";2021-12-01;4;18844;0.86239651878582
"50-59";"Dose One";2021-12-02;10;18844;0.862927191679049
"50-59";"Dose One";2021-12-03;7;18844;0.863298662704309
"50-59";"Dose One";2021-12-04;1;18844;0.863351729993632
"50-59";"Dose One";2021-12-05;1;18844;0.863404797282955
"50-59";"Dose One";2021-12-06;1;18844;0.863457864572278
"50-59";"Dose One";2021-12-07;2;18844;0.863563999150923
"50-59";"Dose One";2021-12-08;3;18844;0.863723201018892
"50-59";"Dose One";2021-12-09;8;18844;0.864147739333475
"50-59";"Dose One";2021-12-10;2;18844;0.864253873912121
"50-59";"Dose One";2021-12-12;1;18844;0.864306941201443
"50-59";"Dose One";2021-12-13;7;18844;0.864678412226703
"50-59";"Dose One";2021-12-14;9;18844;0.865156017830609
"50-59";"Dose One";2021-12-15;3;18844;0.865315219698578
"50-59";"Dose One";2021-12-16;5;18844;0.865580556145192
"50-59";"Dose One";2021-12-17;5;18844;0.865845892591806
"50-59";"Dose One";2021-12-18;1;18844;0.865898959881129
"50-59";"Dose One";2021-12-19;2;18844;0.866005094459775
"50-59";"Dose One";2021-12-20;5;18844;0.866270430906389
"50-59";"Dose One";2021-12-21;6;18844;0.866588834642326
"50-59";"Dose One";2021-12-22;6;18844;0.866907238378264
"50-59";"Dose One";2021-12-23;1;18844;0.866960305667587
"50-59";"Dose One";2021-12-24;1;18844;0.867013372956909
"50-59";"Dose One";2021-12-27;1;18844;0.867066440246232
"50-59";"Dose One";2021-12-28;1;18844;0.867119507535555
"50-59";"Dose One";2021-12-29;7;18844;0.867490978560815
"50-59";"Dose One";2021-12-30;1;18844;0.867544045850138
"50-59";"Dose One";2022-01-02;1;18844;0.867597113139461
"50-59";"Dose One";2022-01-03;4;18844;0.867809382296752
"50-59";"Dose One";2022-01-04;1;18844;0.867862449586075
"50-59";"Dose One";2022-01-07;3;18844;0.868021651454044
"50-59";"Dose One";2022-01-08;1;18844;0.868074718743367
"50-59";"Dose One";2022-01-09;2;18844;0.868180853322012
"50-59";"Dose One";2022-01-10;2;18844;0.868286987900658
"50-59";"Dose One";2022-01-11;1;18844;0.868340055189981
"50-59";"Dose One";2022-01-12;3;18844;0.86849925705795
"50-59";"Dose One";2022-01-13;2;18844;0.868605391636595
"50-59";"Dose One";2022-01-14;3;18844;0.868764593504564
"50-59";"Dose One";2022-01-16;1;18844;0.868817660793887
"50-59";"Dose One";2022-01-17;2;18844;0.868923795372532
"50-59";"Dose One";2022-01-19;1;18844;0.868976862661855
"50-59";"Dose One";2022-01-20;1;18844;0.869029929951178
"50-59";"Dose One";2022-01-21;2;18844;0.869136064529824
"50-59";"Dose One";2022-01-22;1;18844;0.869189131819147
"50-59";"Dose One";2022-01-24;1;18844;0.86924219910847
"50-59";"Dose One";2022-01-25;2;18844;0.869348333687115
"50-59";"Dose One";2022-01-26;3;18844;0.869507535555084
"50-59";"Dose One";2022-01-28;3;18844;0.869666737423052
"50-59";"Dose One";2022-01-31;1;18844;0.869719804712375
"50-59";"Dose One";2022-02-01;2;18844;0.869825939291021
"50-59";"Dose One";2022-02-03;1;18844;0.869879006580344
"50-59";"Dose One";2022-02-04;1;18844;0.869932073869667
"50-59";"Dose One";2022-02-07;1;18844;0.86998514115899
"50-59";"Dose One";2022-02-08;1;18844;0.870038208448312
"50-59";"Dose One";2022-02-09;1;18844;0.870091275737635
"50-59";"Dose One";2022-02-10;2;18844;0.870197410316281
"50-59";"Dose One";2022-02-21;1;18844;0.870250477605604
"50-59";"Dose One";2022-02-23;1;18844;0.870303544894927
"50-59";"Dose One";2022-02-25;1;18844;0.87035661218425
"50-59";"Dose One";2022-03-07;1;18844;0.870409679473573
"50-59";"Dose One";2022-03-17;2;18844;0.870515814052218
"50-59";"Dose One";2022-03-29;2;18844;0.870621948630864
"50-59";"Dose One";2022-04-08;1;18844;0.870675015920187
"50-59";"Dose One";2022-04-11;1;18844;0.87072808320951
"50-59";"Dose One";2022-04-26;1;18844;0.870781150498833
"50-59";"Dose One";2022-05-10;1;18844;0.870834217788155
"50-59";"Dose One";2022-05-26;1;18844;0.870887285077478
"50-59";"Dose One";2022-06-07;1;18844;0.870940352366801
"50-59";"Dose One";2022-06-17;2;18844;0.871046486945447
"50-59";"Dose One";NA;2430;18844;1
"50-59";"Dose Two";2021-01-19;2;18844;0.000106134578645723
"50-59";"Dose Two";2021-01-20;4;18844;0.000318403735937168
"50-59";"Dose Two";2021-01-21;1;18844;0.00037147102526003
"50-59";"Dose Two";2021-01-23;1;18844;0.000424538314582891
"50-59";"Dose Two";2021-01-24;1;18844;0.000477605603905752
"50-59";"Dose Two";2021-01-25;4;18844;0.000689874761197198
"50-59";"Dose Two";2021-01-26;23;18844;0.00191042241562301
"50-59";"Dose Two";2021-01-27;11;18844;0.00249416259817449
"50-59";"Dose Two";2021-01-28;26;18844;0.00387391212056888
"50-59";"Dose Two";2021-01-29;51;18844;0.00658034387603481
"50-59";"Dose Two";2021-01-30;12;18844;0.00721715134790915
"50-59";"Dose Two";2021-01-31;8;18844;0.00764168966249204
"50-59";"Dose Two";2021-02-01;20;18844;0.00870303544894927
"50-59";"Dose Two";2021-02-02;35;18844;0.0105603905752494
"50-59";"Dose Two";2021-02-03;43;18844;0.0128422840161325
"50-59";"Dose Two";2021-02-04;34;18844;0.0146465718531097
"50-59";"Dose Two";2021-02-05;55;18844;0.0175652727658671
"50-59";"Dose Two";2021-02-06;5;18844;0.0178306092124814
"50-59";"Dose Two";2021-02-08;17;18844;0.0187327531309701
"50-59";"Dose Two";2021-02-09;24;18844;0.0200063680747187
"50-59";"Dose Two";2021-02-10;22;18844;0.0211738484398217
"50-59";"Dose Two";2021-02-11;22;18844;0.0223413288049246
"50-59";"Dose Two";2021-02-12;28;18844;0.0238272129059648
"50-59";"Dose Two";2021-02-13;9;18844;0.0243048185098705
"50-59";"Dose Two";2021-02-14;3;18844;0.0244640203778391
"50-59";"Dose Two";2021-02-15;8;18844;0.024888558692422
"50-59";"Dose Two";2021-02-17;2;18844;0.0249946932710677
"50-59";"Dose Two";2021-02-18;4;18844;0.0252069624283592
"50-59";"Dose Two";2021-02-19;12;18844;0.0258437699002335
"50-59";"Dose Two";2021-02-20;2;18844;0.0259499044788792
"50-59";"Dose Two";2021-02-22;4;18844;0.0261621736361707
"50-59";"Dose Two";2021-02-23;4;18844;0.0263744427934621
"50-59";"Dose Two";2021-02-24;4;18844;0.0265867119507536
"50-59";"Dose Two";2021-02-26;6;18844;0.0269051156866907
"50-59";"Dose Two";2021-03-01;2;18844;0.0270112502653364
"50-59";"Dose Two";2021-03-02;2;18844;0.0271173848439822
"50-59";"Dose Two";2021-03-03;2;18844;0.0272235194226279
"50-59";"Dose Two";2021-03-04;9;18844;0.0277011250265336
"50-59";"Dose Two";2021-03-05;24;18844;0.0289747399702823
"50-59";"Dose Two";2021-03-06;7;18844;0.0293462109955423
"50-59";"Dose Two";2021-03-08;24;18844;0.030619825939291
"50-59";"Dose Two";2021-03-09;23;18844;0.0318403735937168
"50-59";"Dose Two";2021-03-10;11;18844;0.0324241137762683
"50-59";"Dose Two";2021-03-11;42;18844;0.0346529399278285
"50-59";"Dose Two";2021-03-12;47;18844;0.037147102526003
"50-59";"Dose Two";2021-03-13;4;18844;0.0373593716832944
"50-59";"Dose Two";2021-03-14;1;18844;0.0374124389726173
"50-59";"Dose Two";2021-03-15;15;18844;0.0382084483124602
"50-59";"Dose Two";2021-03-16;31;18844;0.0398535342814689
"50-59";"Dose Two";2021-03-17;50;18844;0.042506898747612
"50-59";"Dose Two";2021-03-18;52;18844;0.0452663977924008
"50-59";"Dose Two";2021-03-19;49;18844;0.047866694969221
"50-59";"Dose Two";2021-03-20;3;18844;0.0480258968371896
"50-59";"Dose Two";2021-03-22;6;18844;0.0483443005731267
"50-59";"Dose Two";2021-03-23;15;18844;0.0491403099129696
"50-59";"Dose Two";2021-03-24;33;18844;0.0508915304606241
"50-59";"Dose Two";2021-03-25;26;18844;0.0522712799830185
"50-59";"Dose Two";2021-03-26;17;18844;0.0531734239015071
"50-59";"Dose Two";2021-03-27;1;18844;0.05322649119083
"50-59";"Dose Two";2021-03-29;5;18844;0.0534918276374443
"50-59";"Dose Two";2021-03-30;15;18844;0.0542878369772872
"50-59";"Dose Two";2021-03-31;23;18844;0.055508384631713
"50-59";"Dose Two";2021-04-01;13;18844;0.0561982593929102
"50-59";"Dose Two";2021-04-06;12;18844;0.0568350668647845
"50-59";"Dose Two";2021-04-07;20;18844;0.0578964126512418
"50-59";"Dose Two";2021-04-08;15;18844;0.0586924219910847
"50-59";"Dose Two";2021-04-09;14;18844;0.0594353640416048
"50-59";"Dose Two";2021-04-12;2;18844;0.0595414986202505
"50-59";"Dose Two";2021-04-13;9;18844;0.0600191042241562
"50-59";"Dose Two";2021-04-14;24;18844;0.0612927191679049
"50-59";"Dose Two";2021-04-15;45;18844;0.0636807471874337
"50-59";"Dose Two";2021-04-16;49;18844;0.0662810443642539
"50-59";"Dose Two";2021-04-19;105;18844;0.0718531097431543
"50-59";"Dose Two";2021-04-20;52;18844;0.0746126087879431
"50-59";"Dose Two";2021-04-21;118;18844;0.0808745489280408
"50-59";"Dose Two";2021-04-22;140;18844;0.0883039694332414
"50-59";"Dose Two";2021-04-23;87;18844;0.0929208236043303
"50-59";"Dose Two";2021-04-24;6;18844;0.0932392273402675
"50-59";"Dose Two";2021-04-26;120;18844;0.0996073020590108
"50-59";"Dose Two";2021-04-27;117;18844;0.105816174909786
"50-59";"Dose Two";2021-04-28;112;18844;0.111759711313946
"50-59";"Dose Two";2021-04-29;74;18844;0.115686690723838
"50-59";"Dose Two";2021-04-30;17;18844;0.116588834642326
"50-59";"Dose Two";2021-05-03;6;18844;0.116907238378264
"50-59";"Dose Two";2021-05-04;87;18844;0.121524092549353
"50-59";"Dose Two";2021-05-05;87;18844;0.126140946720442
"50-59";"Dose Two";2021-05-06;90;18844;0.130917002759499
"50-59";"Dose Two";2021-05-07;75;18844;0.134897049458714
"50-59";"Dose Two";2021-05-08;1;18844;0.134950116748037
"50-59";"Dose Two";2021-05-10;75;18844;0.138930163447251
"50-59";"Dose Two";2021-05-11;61;18844;0.142167268095946
"50-59";"Dose Two";2021-05-12;64;18844;0.145563574612609
"50-59";"Dose Two";2021-05-13;78;18844;0.149702823179792
"50-59";"Dose Two";2021-05-14;66;18844;0.153205264275101
"50-59";"Dose Two";2021-05-17;95;18844;0.158246656760773
"50-59";"Dose Two";2021-05-18;66;18844;0.161749097856082
"50-59";"Dose Two";2021-05-19;44;18844;0.164084058586287
"50-59";"Dose Two";2021-05-20;62;18844;0.167374230524305
"50-59";"Dose Two";2021-05-21;51;18844;0.170080662279771
"50-59";"Dose Two";2021-05-22;1;18844;0.170133729569094
"50-59";"Dose Two";2021-05-24;8;18844;0.170558267883677
"50-59";"Dose Two";2021-05-25;83;18844;0.174962852897474
"50-59";"Dose Two";2021-05-26;109;18844;0.180747187433666
"50-59";"Dose Two";2021-05-27;124;18844;0.187327531309701
"50-59";"Dose Two";2021-05-28;175;18844;0.196614306941201
"50-59";"Dose Two";2021-05-29;77;18844;0.200700488219062
"50-59";"Dose Two";2021-05-30;61;18844;0.203937592867756
"50-59";"Dose Two";2021-05-31;168;18844;0.212852897473997
"50-59";"Dose Two";2021-06-01;614;18844;0.245436213118234
"50-59";"Dose Two";2021-06-02;596;18844;0.277064317554659
"50-59";"Dose Two";2021-06-03;604;18844;0.309116960305668
"50-59";"Dose Two";2021-06-04;691;18844;0.345786457227765
"50-59";"Dose Two";2021-06-05;280;18844;0.360645298238166
"50-59";"Dose Two";2021-06-06;150;18844;0.368605391636595
"50-59";"Dose Two";2021-06-07;207;18844;0.379590320526427
"50-59";"Dose Two";2021-06-08;475;18844;0.404797282954787
"50-59";"Dose Two";2021-06-09;462;18844;0.429314370621949
"50-59";"Dose Two";2021-06-10;554;18844;0.458713648906814
"50-59";"Dose Two";2021-06-11;413;18844;0.480630439397156
"50-59";"Dose Two";2021-06-12;261;18844;0.494481001910422
"50-59";"Dose Two";2021-06-13;186;18844;0.504351517724475
"50-59";"Dose Two";2021-06-14;159;18844;0.51278921672681
"50-59";"Dose Two";2021-06-15;229;18844;0.524941625981745
"50-59";"Dose Two";2021-06-16;226;18844;0.536934833368712
"50-59";"Dose Two";2021-06-17;275;18844;0.551528337932498
"50-59";"Dose Two";2021-06-18;317;18844;0.568350668647845
"50-59";"Dose Two";2021-06-19;111;18844;0.574241137762683
"50-59";"Dose Two";2021-06-20;73;18844;0.578115049883252
"50-59";"Dose Two";2021-06-21;182;18844;0.587773296540013
"50-59";"Dose Two";2021-06-22;215;18844;0.599182763744428
"50-59";"Dose Two";2021-06-23;274;18844;0.613723201018892
"50-59";"Dose Two";2021-06-24;123;18844;0.620250477605604
"50-59";"Dose Two";2021-06-25;337;18844;0.638134154107408
"50-59";"Dose Two";2021-06-26;196;18844;0.648535342814689
"50-59";"Dose Two";2021-06-27;120;18844;0.654903417533432
"50-59";"Dose Two";2021-06-28;252;18844;0.668276374442793
"50-59";"Dose Two";2021-06-29;203;18844;0.679049034175334
"50-59";"Dose Two";2021-06-30;151;18844;0.687062194863086
"50-59";"Dose Two";2021-07-01;182;18844;0.696720441519847
"50-59";"Dose Two";2021-07-02;237;18844;0.709297389089365
"50-59";"Dose Two";2021-07-03;43;18844;0.711579282530248
"50-59";"Dose Two";2021-07-04;36;18844;0.713489704945871
"50-59";"Dose Two";2021-07-05;123;18844;0.720016981532583
"50-59";"Dose Two";2021-07-06;139;18844;0.727393334748461
"50-59";"Dose Two";2021-07-07;163;18844;0.736043302908088
"50-59";"Dose Two";2021-07-08;121;18844;0.742464444916154
"50-59";"Dose Two";2021-07-09;134;18844;0.749575461685417
"50-59";"Dose Two";2021-07-10;73;18844;0.753449373805986
"50-59";"Dose Two";2021-07-11;39;18844;0.755518998089578
"50-59";"Dose Two";2021-07-12;80;18844;0.759764381235406
"50-59";"Dose Two";2021-07-13;73;18844;0.763638293355975
"50-59";"Dose Two";2021-07-14;31;18844;0.765283379324984
"50-59";"Dose Two";2021-07-15;69;18844;0.768945022288262
"50-59";"Dose Two";2021-07-16;67;18844;0.772500530672893
"50-59";"Dose Two";2021-07-17;28;18844;0.773986414773933
"50-59";"Dose Two";2021-07-18;10;18844;0.774517087667162
"50-59";"Dose Two";2021-07-19;27;18844;0.775949904478879
"50-59";"Dose Two";2021-07-20;32;18844;0.777648057737211
"50-59";"Dose Two";2021-07-21;34;18844;0.779452345574188
"50-59";"Dose Two";2021-07-22;42;18844;0.781681171725748
"50-59";"Dose Two";2021-07-23;31;18844;0.783326257694757
"50-59";"Dose Two";2021-07-24;6;18844;0.783644661430694
"50-59";"Dose Two";2021-07-25;5;18844;0.783909997877308
"50-59";"Dose Two";2021-07-26;19;18844;0.784918276374443
"50-59";"Dose Two";2021-07-27;10;18844;0.785448949267671
"50-59";"Dose Two";2021-07-28;10;18844;0.7859796221609
"50-59";"Dose Two";2021-07-29;19;18844;0.786987900658034
"50-59";"Dose Two";2021-07-30;19;18844;0.787996179155169
"50-59";"Dose Two";2021-08-01;1;18844;0.788049246444492
"50-59";"Dose Two";2021-08-02;5;18844;0.788314582891106
"50-59";"Dose Two";2021-08-03;7;18844;0.788686053916366
"50-59";"Dose Two";2021-08-04;6;18844;0.789004457652303
"50-59";"Dose Two";2021-08-05;6;18844;0.78932286138824
"50-59";"Dose Two";2021-08-06;10;18844;0.789853534281469
"50-59";"Dose Two";2021-08-07;1;18844;0.789906601570792
"50-59";"Dose Two";2021-08-09;1;18844;0.789959668860115
"50-59";"Dose Two";2021-08-10;4;18844;0.790171938017406
"50-59";"Dose Two";2021-08-11;7;18844;0.790543409042666
"50-59";"Dose Two";2021-08-12;8;18844;0.790967947357249
"50-59";"Dose Two";2021-08-13;15;18844;0.791763956697092
"50-59";"Dose Two";2021-08-14;1;18844;0.791817023986415
"50-59";"Dose Two";2021-08-15;1;18844;0.791870091275738
"50-59";"Dose Two";2021-08-16;3;18844;0.792029293143706
"50-59";"Dose Two";2021-08-17;4;18844;0.792241562300998
"50-59";"Dose Two";2021-08-18;15;18844;0.793037571640841
"50-59";"Dose Two";2021-08-19;5;18844;0.793302908087455
"50-59";"Dose Two";2021-08-20;2;18844;0.793409042666101
"50-59";"Dose Two";2021-08-21;2;18844;0.793515177244746
"50-59";"Dose Two";2021-08-23;5;18844;0.793780513691361
"50-59";"Dose Two";2021-08-24;10;18844;0.794311186584589
"50-59";"Dose Two";2021-08-25;13;18844;0.795001061345786
"50-59";"Dose Two";2021-08-26;12;18844;0.795637868817661
"50-59";"Dose Two";2021-08-27;10;18844;0.796168541710889
"50-59";"Dose Two";2021-08-28;1;18844;0.796221609000212
"50-59";"Dose Two";2021-08-30;4;18844;0.796433878157504
"50-59";"Dose Two";2021-08-31;9;18844;0.79691148376141
"50-59";"Dose Two";2021-09-01;17;18844;0.797813627679898
"50-59";"Dose Two";2021-09-02;5;18844;0.798078964126512
"50-59";"Dose Two";2021-09-03;7;18844;0.798450435151772
"50-59";"Dose Two";2021-09-04;2;18844;0.798556569730418
"50-59";"Dose Two";2021-09-06;5;18844;0.798821906177033
"50-59";"Dose Two";2021-09-07;6;18844;0.79914030991297
"50-59";"Dose Two";2021-09-08;7;18844;0.79951178093823
"50-59";"Dose Two";2021-09-09;4;18844;0.799724050095521
