"vac_exposure_date";"vac_number";"cancer_diagnosis_time";"n"
2021-04-08;"Dose One";"2";648
2021-04-08;"Dose One";"3";541
2021-04-08;"Dose One";"4";540
2021-04-08;"Dose Two";"0";27
2021-04-08;"Dose Two";"1";44
2021-04-08;"Dose Two";"2";42
2021-04-08;"Dose Two";"3";36
2021-04-08;"Dose Two";"4";34
2021-04-09;"Dose One";"0";500
2021-04-09;"Dose One";"1";464
2021-04-09;"Dose One";"2";484
2021-04-09;"Dose One";"3";406
2021-04-09;"Dose One";"4";465
2021-04-09;"Dose Two";"0";42
2021-04-09;"Dose Two";"1";41
2021-04-09;"Dose Two";"2";39
2021-04-09;"Dose Two";"3";39
2021-04-09;"Dose Two";"4";45
2021-04-10;"Dose One";"0";28
2021-04-10;"Dose One";"1";18
2021-04-10;"Dose One";"2";16
2021-04-10;"Dose One";"3";19
2021-04-10;"Dose One";"4";14
2021-04-11;"Dose One";"0";10
2021-04-11;"Dose One";"1";3
2021-04-11;"Dose One";"2";2
2021-04-11;"Dose One";"3";7
2021-04-11;"Dose One";"4";1
2021-04-12;"Dose One";"0";226
2021-04-12;"Dose One";"1";164
2021-04-12;"Dose One";"2";135
2021-04-12;"Dose One";"3";104
2021-04-12;"Dose One";"4";115
2021-04-12;"Dose Two";"0";6
2021-04-12;"Dose Two";"1";4
2021-04-12;"Dose Two";"2";1
2021-04-12;"Dose Two";"3";4
2021-04-12;"Dose Two";"4";1
2021-04-13;"Dose One";"0";415
2021-04-13;"Dose One";"1";435
2021-04-13;"Dose One";"2";389
2021-04-13;"Dose One";"3";353
2021-04-13;"Dose One";"4";349
2021-04-13;"Dose Two";"0";23
2021-04-13;"Dose Two";"1";22
2021-04-13;"Dose Two";"2";34
2021-04-13;"Dose Two";"3";21
2021-04-13;"Dose Two";"4";21
2021-04-14;"Dose One";"0";553
2021-04-14;"Dose One";"1";539
2021-04-14;"Dose One";"2";543
2021-04-14;"Dose One";"3";513
2021-04-14;"Dose One";"4";501
2021-04-14;"Dose Two";"0";84
2021-04-14;"Dose Two";"1";72
2021-04-14;"Dose Two";"2";60
2021-04-14;"Dose Two";"3";63
2021-04-14;"Dose Two";"4";61
2021-04-15;"Dose One";"0";533
2021-04-15;"Dose One";"1";585
2021-04-15;"Dose One";"2";502
2021-04-15;"Dose One";"3";550
2021-04-15;"Dose One";"4";537
2021-04-15;"Dose Two";"0";152
2021-04-15;"Dose Two";"1";134
2021-04-15;"Dose Two";"2";113
2021-04-15;"Dose Two";"3";89
2021-04-15;"Dose Two";"4";101
2021-04-16;"Dose One";"0";333
2021-04-16;"Dose One";"1";415
2021-04-16;"Dose One";"2";366
2021-04-16;"Dose One";"3";349
2021-04-16;"Dose One";"4";328
2021-04-16;"Dose Two";"0";197
2021-04-16;"Dose Two";"1";120
2021-04-16;"Dose Two";"2";136
2021-04-16;"Dose Two";"3";135
2021-04-16;"Dose Two";"4";122
2021-04-17;"Dose One";"0";42
2021-04-17;"Dose One";"1";23
2021-04-17;"Dose One";"2";27
2021-04-17;"Dose One";"3";25
2021-04-17;"Dose One";"4";22
2021-04-18;"Dose One";"0";1
2021-04-18;"Dose One";"1";4
2021-04-18;"Dose One";"2";3
2021-04-18;"Dose One";"3";1
2021-04-18;"Dose One";"4";4
2021-04-19;"Dose One";"0";138
2021-04-19;"Dose One";"1";84
2021-04-19;"Dose One";"2";80
2021-04-19;"Dose One";"3";74
2021-04-19;"Dose One";"4";81
2021-04-19;"Dose Two";"0";134
2021-04-19;"Dose Two";"1";109
2021-04-19;"Dose Two";"2";69
2021-04-19;"Dose Two";"3";70
2021-04-19;"Dose Two";"4";48
2021-04-20;"Dose One";"0";195
2021-04-20;"Dose One";"1";229
2021-04-20;"Dose One";"2";197
2021-04-20;"Dose One";"3";183
2021-04-20;"Dose One";"4";194
2021-04-20;"Dose Two";"0";303
2021-04-20;"Dose Two";"1";332
2021-04-20;"Dose Two";"2";327
2021-04-20;"Dose Two";"3";277
2021-04-20;"Dose Two";"4";283
2021-04-21;"Dose One";"0";214
2021-04-21;"Dose One";"1";228
2021-04-21;"Dose One";"2";195
2021-04-21;"Dose One";"3";213
2021-04-21;"Dose One";"4";221
2021-04-21;"Dose Two";"0";520
2021-04-21;"Dose Two";"1";530
2021-04-21;"Dose Two";"2";526
2021-04-21;"Dose Two";"3";476
2021-04-21;"Dose Two";"4";414
2021-04-22;"Dose One";"0";274
2021-04-22;"Dose One";"1";301
2021-04-22;"Dose One";"2";295
2021-04-22;"Dose One";"3";271
2021-04-22;"Dose One";"4";272
2021-04-22;"Dose Two";"0";478
2021-04-22;"Dose Two";"1";498
2021-04-22;"Dose Two";"2";415
2021-04-22;"Dose Two";"3";358
2021-04-22;"Dose Two";"4";401
2021-04-23;"Dose One";"0";237
2021-04-23;"Dose One";"1";239
2021-04-23;"Dose One";"2";264
2021-04-23;"Dose One";"3";257
2021-04-23;"Dose One";"4";233
2021-04-23;"Dose Two";"0";230
2021-04-23;"Dose Two";"1";139
2021-04-23;"Dose Two";"2";142
2021-04-23;"Dose Two";"3";129
2021-04-23;"Dose Two";"4";84
2021-04-24;"Dose One";"0";18
2021-04-24;"Dose One";"1";15
2021-04-24;"Dose One";"2";15
2021-04-24;"Dose One";"3";19
2021-04-24;"Dose One";"4";10
2021-04-24;"Dose Two";"0";7
2021-04-24;"Dose Two";"1";4
2021-04-24;"Dose Two";"2";1
2021-04-24;"Dose Two";"3";3
2021-04-24;"Dose Two";"4";2
2021-04-25;"Dose One";"0";11
2021-04-25;"Dose One";"1";9
2021-04-25;"Dose One";"2";5
2021-04-25;"Dose One";"3";4
2021-04-25;"Dose One";"4";4
2021-04-25;"Dose Two";"0";1
2021-04-26;"Dose One";"0";171
2021-04-26;"Dose One";"1";175
2021-04-26;"Dose One";"2";172
2021-04-26;"Dose One";"3";168
2021-04-26;"Dose One";"4";139
2021-04-26;"Dose Two";"0";217
2021-04-26;"Dose Two";"1";130
2021-04-26;"Dose Two";"2";67
2021-04-26;"Dose Two";"3";57
2021-04-26;"Dose Two";"4";49
2021-04-27;"Dose One";"0";207
2021-04-27;"Dose One";"1";219
2021-04-27;"Dose One";"2";225
2021-04-27;"Dose One";"3";200
2021-04-27;"Dose One";"4";198
2021-04-27;"Dose Two";"0";362
2021-04-27;"Dose Two";"1";317
2021-04-27;"Dose Two";"2";261
2021-04-27;"Dose Two";"3";237
2021-04-27;"Dose Two";"4";256
2021-04-28;"Dose One";"0";216
2021-04-28;"Dose One";"1";172
2021-04-28;"Dose One";"2";147
2021-04-28;"Dose One";"3";183
2021-04-28;"Dose One";"4";137
2021-04-28;"Dose Two";"0";593
2021-04-28;"Dose Two";"1";597
2021-04-28;"Dose Two";"2";552
2021-04-28;"Dose Two";"3";516
2021-04-28;"Dose Two";"4";492
2021-04-29;"Dose One";"0";192
2021-04-29;"Dose One";"1";183
2021-04-29;"Dose One";"2";159
2021-04-29;"Dose One";"3";164
2021-04-29;"Dose One";"4";155
2021-04-29;"Dose Two";"0";537
2021-04-29;"Dose Two";"1";514
2021-04-29;"Dose Two";"2";531
2021-04-29;"Dose Two";"3";461
2021-04-29;"Dose Two";"4";465
2021-04-30;"Dose One";"0";381
2021-04-30;"Dose One";"1";348
2021-04-30;"Dose One";"2";368
2021-04-30;"Dose One";"3";384
2021-04-30;"Dose One";"4";326
2021-04-30;"Dose Two";"0";328
2021-04-30;"Dose Two";"1";368
2021-04-30;"Dose Two";"2";406
2021-04-30;"Dose Two";"3";346
2021-04-30;"Dose Two";"4";410
2021-05-01;"Dose One";"0";137
2021-05-01;"Dose One";"1";127
2021-05-01;"Dose One";"2";146
2021-05-01;"Dose One";"3";144
2021-05-01;"Dose One";"4";129
2021-05-01;"Dose Two";"0";1
2021-05-01;"Dose Two";"1";3
2021-05-01;"Dose Two";"2";2
2021-05-01;"Dose Two";"3";3
2021-05-01;"Dose Two";"4";2
2021-05-02;"Dose One";"0";58
2021-05-02;"Dose One";"1";62
2021-05-02;"Dose One";"2";76
2021-05-02;"Dose One";"3";72
2021-05-02;"Dose One";"4";71
2021-05-02;"Dose Two";"3";1
2021-05-03;"Dose One";"0";316
2021-05-03;"Dose One";"1";288
2021-05-03;"Dose One";"2";287
2021-05-03;"Dose One";"3";272
2021-05-03;"Dose One";"4";300
2021-05-03;"Dose Two";"0";27
2021-05-03;"Dose Two";"1";22
2021-05-03;"Dose Two";"2";21
2021-05-03;"Dose Two";"3";12
2021-05-03;"Dose Two";"4";15
2021-05-04;"Dose One";"0";240
2021-05-04;"Dose One";"1";263
2021-05-04;"Dose One";"2";231
2021-05-04;"Dose One";"3";222
2021-05-04;"Dose One";"4";234
2021-05-04;"Dose Two";"0";338
2021-05-04;"Dose Two";"1";394
2021-05-04;"Dose Two";"2";316
2021-05-04;"Dose Two";"3";292
2021-05-04;"Dose Two";"4";286
2021-05-05;"Dose One";"0";174
2021-05-05;"Dose One";"1";224
2021-05-05;"Dose One";"2";197
2021-05-05;"Dose One";"3";210
2021-05-05;"Dose One";"4";197
2021-05-05;"Dose Two";"0";501
2021-05-05;"Dose Two";"1";456
2021-05-05;"Dose Two";"2";495
2021-05-05;"Dose Two";"3";436
2021-05-05;"Dose Two";"4";438
2021-05-06;"Dose One";"0";191
2021-05-06;"Dose One";"1";192
2021-05-06;"Dose One";"2";187
2021-05-06;"Dose One";"3";182
2021-05-06;"Dose One";"4";174
2021-05-06;"Dose Two";"0";452
2021-05-06;"Dose Two";"1";480
2021-05-06;"Dose Two";"2";420
2021-05-06;"Dose Two";"3";392
2021-05-06;"Dose Two";"4";426
2021-05-07;"Dose One";"0";323
2021-05-07;"Dose One";"1";371
2021-05-07;"Dose One";"2";311
2021-05-07;"Dose One";"3";341
2021-05-07;"Dose One";"4";367
2021-05-07;"Dose Two";"0";322
2021-05-07;"Dose Two";"1";314
2021-05-07;"Dose Two";"2";271
2021-05-07;"Dose Two";"3";265
2021-05-07;"Dose Two";"4";246
2021-05-08;"Dose One";"0";99
2021-05-08;"Dose One";"1";126
2021-05-08;"Dose One";"2";141
2021-05-08;"Dose One";"3";107
2021-05-08;"Dose One";"4";96
2021-05-08;"Dose Two";"0";1
2021-05-08;"Dose Two";"3";1
2021-05-09;"Dose One";"0";76
2021-05-09;"Dose One";"1";74
2021-05-09;"Dose One";"2";75
2021-05-09;"Dose One";"3";77
2021-05-09;"Dose One";"4";88
2021-05-10;"Dose One";"0";177
2021-05-10;"Dose One";"1";173
2021-05-10;"Dose One";"2";187
2021-05-10;"Dose One";"3";162
2021-05-10;"Dose One";"4";199
2021-05-10;"Dose Two";"0";115
2021-05-10;"Dose Two";"1";67
2021-05-10;"Dose Two";"2";45
2021-05-10;"Dose Two";"3";44
2021-05-10;"Dose Two";"4";38
2021-05-11;"Dose One";"0";180
2021-05-11;"Dose One";"1";213
2021-05-11;"Dose One";"2";183
2021-05-11;"Dose One";"3";215
2021-05-11;"Dose One";"4";206
2021-05-11;"Dose Two";"0";182
2021-05-11;"Dose Two";"1";150
2021-05-11;"Dose Two";"2";120
2021-05-11;"Dose Two";"3";133
2021-05-11;"Dose Two";"4";108
2021-05-12;"Dose One";"0";240
2021-05-12;"Dose One";"1";253
2021-05-12;"Dose One";"2";207
2021-05-12;"Dose One";"3";234
2021-05-12;"Dose One";"4";196
2021-05-12;"Dose Two";"0";191
2021-05-12;"Dose Two";"1";168
2021-05-12;"Dose Two";"2";165
2021-05-12;"Dose Two";"3";169
2021-05-12;"Dose Two";"4";175
2021-05-13;"Dose One";"0";194
2021-05-13;"Dose One";"1";273
2021-05-13;"Dose One";"2";234
2021-05-13;"Dose One";"3";213
2021-05-13;"Dose One";"4";188
2021-05-13;"Dose Two";"0";291
2021-05-13;"Dose Two";"1";247
2021-05-13;"Dose Two";"2";220
2021-05-13;"Dose Two";"3";212
2021-05-13;"Dose Two";"4";209
2021-05-14;"Dose One";"0";213
2021-05-14;"Dose One";"1";220
2021-05-14;"Dose One";"2";234
2021-05-14;"Dose One";"3";206
2021-05-14;"Dose One";"4";177
2021-05-14;"Dose Two";"0";204
2021-05-14;"Dose Two";"1";188
2021-05-14;"Dose Two";"2";213
2021-05-14;"Dose Two";"3";162
2021-05-14;"Dose Two";"4";186
2021-05-15;"Dose One";"0";69
2021-05-15;"Dose One";"1";90
2021-05-15;"Dose One";"2";63
2021-05-15;"Dose One";"3";64
2021-05-15;"Dose One";"4";76
2021-05-15;"Dose Two";"0";2
2021-05-15;"Dose Two";"1";1
2021-05-15;"Dose Two";"2";2
2021-05-15;"Dose Two";"3";2
2021-05-16;"Dose One";"0";56
2021-05-16;"Dose One";"1";42
2021-05-16;"Dose One";"2";46
2021-05-16;"Dose One";"3";47
2021-05-16;"Dose One";"4";50
2021-05-16;"Dose Two";"3";1
2021-05-17;"Dose One";"0";96
2021-05-17;"Dose One";"1";95
2021-05-17;"Dose One";"2";83
2021-05-17;"Dose One";"3";83
2021-05-17;"Dose One";"4";67
2021-05-17;"Dose Two";"0";119
2021-05-17;"Dose Two";"1";46
2021-05-17;"Dose Two";"2";48
2021-05-17;"Dose Two";"3";45
2021-05-17;"Dose Two";"4";38
2021-05-18;"Dose One";"0";190
2021-05-18;"Dose One";"1";156
2021-05-18;"Dose One";"2";149
2021-05-18;"Dose One";"3";154
2021-05-18;"Dose One";"4";151
2021-05-18;"Dose Two";"0";125
2021-05-18;"Dose Two";"1";128
2021-05-18;"Dose Two";"2";117
2021-05-18;"Dose Two";"3";77
2021-05-18;"Dose Two";"4";84
2021-05-19;"Dose One";"0";165
2021-05-19;"Dose One";"1";184
2021-05-19;"Dose One";"2";147
2021-05-19;"Dose One";"3";136
2021-05-19;"Dose One";"4";155
2021-05-19;"Dose Two";"0";97
2021-05-19;"Dose Two";"1";85
2021-05-19;"Dose Two";"2";74
2021-05-19;"Dose Two";"3";74
2021-05-19;"Dose Two";"4";61
2021-05-20;"Dose One";"0";189
2021-05-20;"Dose One";"1";197
2021-05-20;"Dose One";"2";137
2021-05-20;"Dose One";"3";160
2021-05-20;"Dose One";"4";138
2021-05-20;"Dose Two";"0";130
2021-05-20;"Dose Two";"1";123
2021-05-20;"Dose Two";"2";128
2021-05-20;"Dose Two";"3";92
2021-05-20;"Dose Two";"4";63
2021-05-21;"Dose One";"0";113
2021-05-21;"Dose One";"1";118
2021-05-21;"Dose One";"2";113
2021-05-21;"Dose One";"3";102
2021-05-21;"Dose One";"4";104
2021-05-21;"Dose Two";"0";294
2021-05-21;"Dose Two";"1";278
2021-05-21;"Dose Two";"2";318
2021-05-21;"Dose Two";"3";309
2021-05-21;"Dose Two";"4";268
2021-05-22;"Dose One";"0";27
2021-05-22;"Dose One";"1";37
2021-05-22;"Dose One";"2";45
2021-05-22;"Dose One";"3";31
2021-05-22;"Dose One";"4";28
2021-05-22;"Dose Two";"0";69
2021-05-22;"Dose Two";"1";66
2021-05-22;"Dose Two";"2";73
2021-05-22;"Dose Two";"3";65
2021-05-22;"Dose Two";"4";70
2021-05-23;"Dose One";"0";12
2021-05-23;"Dose One";"1";19
2021-05-23;"Dose One";"2";13
2021-05-23;"Dose One";"3";5
2021-05-23;"Dose One";"4";17
2021-05-23;"Dose Two";"0";48
2021-05-23;"Dose Two";"1";82
2021-05-23;"Dose Two";"2";66
2021-05-23;"Dose Two";"3";66
2021-05-23;"Dose Two";"4";63
2021-05-24;"Dose One";"0";23
2021-05-24;"Dose One";"1";26
2021-05-24;"Dose One";"2";35
2021-05-24;"Dose One";"3";21
2021-05-24;"Dose One";"4";17
2021-05-24;"Dose Two";"0";84
2021-05-24;"Dose Two";"1";73
2021-05-24;"Dose Two";"2";87
2021-05-24;"Dose Two";"3";84
2021-05-24;"Dose Two";"4";82
2021-05-25;"Dose One";"0";86
2021-05-25;"Dose One";"1";102
2021-05-25;"Dose One";"2";88
2021-05-25;"Dose One";"3";72
2021-05-25;"Dose One";"4";74
2021-05-25;"Dose Two";"0";247
2021-05-25;"Dose Two";"1";213
2021-05-25;"Dose Two";"2";213
2021-05-25;"Dose Two";"3";187
2021-05-25;"Dose Two";"4";175
2021-05-26;"Dose One";"0";102
2021-05-26;"Dose One";"1";95
2021-05-26;"Dose One";"2";77
2021-05-26;"Dose One";"3";81
2021-05-26;"Dose One";"4";71
2021-05-26;"Dose Two";"0";185
2021-05-26;"Dose Two";"1";189
2021-05-26;"Dose Two";"2";158
2021-05-26;"Dose Two";"3";174
2021-05-26;"Dose Two";"4";155
2021-05-27;"Dose One";"0";111
2021-05-27;"Dose One";"1";123
2021-05-27;"Dose One";"2";108
2021-05-27;"Dose One";"3";95
2021-05-27;"Dose One";"4";102
2021-05-27;"Dose Two";"0";146
2021-05-27;"Dose Two";"1";160
2021-05-27;"Dose Two";"2";119
2021-05-27;"Dose Two";"3";129
2021-05-27;"Dose Two";"4";140
2021-05-28;"Dose One";"0";72
2021-05-28;"Dose One";"1";87
2021-05-28;"Dose One";"2";72
2021-05-28;"Dose One";"3";66
2021-05-28;"Dose One";"4";53
2021-05-28;"Dose Two";"0";342
2021-05-28;"Dose Two";"1";335
2021-05-28;"Dose Two";"2";286
2021-05-28;"Dose Two";"3";332
2021-05-28;"Dose Two";"4";360
2021-05-29;"Dose One";"0";17
2021-05-29;"Dose One";"1";26
2021-05-29;"Dose One";"2";23
2021-05-29;"Dose One";"3";26
2021-05-29;"Dose One";"4";22
2021-05-29;"Dose Two";"0";112
2021-05-29;"Dose Two";"1";130
2021-05-29;"Dose Two";"2";124
2021-05-29;"Dose Two";"3";100
2021-05-29;"Dose Two";"4";92
2021-05-30;"Dose One";"0";12
2021-05-30;"Dose One";"1";13
2021-05-30;"Dose One";"2";13
2021-05-30;"Dose One";"3";6
2021-05-30;"Dose One";"4";11
2021-05-30;"Dose Two";"0";71
2021-05-30;"Dose Two";"1";76
2021-05-30;"Dose Two";"2";75
2021-05-30;"Dose Two";"3";80
2021-05-30;"Dose Two";"4";74
2021-05-31;"Dose One";"0";44
2021-05-31;"Dose One";"1";33
2021-05-31;"Dose One";"2";31
2021-05-31;"Dose One";"3";51
2021-05-31;"Dose One";"4";29
2021-05-31;"Dose Two";"0";197
2021-05-31;"Dose Two";"1";135
2021-05-31;"Dose Two";"2";138
2021-05-31;"Dose Two";"3";98
2021-05-31;"Dose Two";"4";140
2021-06-01;"Dose One";"0";62
2021-06-01;"Dose One";"1";62
2021-06-01;"Dose One";"2";51
2021-06-01;"Dose One";"3";47
2021-06-01;"Dose One";"4";55
2021-06-01;"Dose Two";"0";214
2021-06-01;"Dose Two";"1";216
2021-06-01;"Dose Two";"2";197
2021-06-01;"Dose Two";"3";208
2021-06-01;"Dose Two";"4";211
2021-06-02;"Dose One";"0";72
2021-06-02;"Dose One";"1";95
2021-06-02;"Dose One";"2";81
2021-06-02;"Dose One";"3";55
2021-06-02;"Dose One";"4";52
2021-06-02;"Dose Two";"0";216
2021-06-02;"Dose Two";"1";207
2021-06-02;"Dose Two";"2";202
2021-06-02;"Dose Two";"3";212
2021-06-02;"Dose Two";"4";172
2021-06-03;"Dose One";"0";101
2021-06-03;"Dose One";"1";94
2021-06-03;"Dose One";"2";90
2021-06-03;"Dose One";"3";91
2021-06-03;"Dose One";"4";72
2021-06-03;"Dose Two";"0";204
2021-06-03;"Dose Two";"1";223
2021-06-03;"Dose Two";"2";185
2021-06-03;"Dose Two";"3";183
2021-06-03;"Dose Two";"4";163
2021-06-03;"Booster";"1";1
2021-06-04;"Dose One";"0";86
2021-06-04;"Dose One";"1";97
2021-06-04;"Dose One";"2";86
2021-06-04;"Dose One";"3";65
2021-06-04;"Dose One";"4";57
2021-06-04;"Dose Two";"0";266
2021-06-04;"Dose Two";"1";254
2021-06-04;"Dose Two";"2";248
2021-06-04;"Dose Two";"3";219
2021-06-04;"Dose Two";"4";213
2021-06-05;"Dose One";"0";41
2021-06-05;"Dose One";"1";43
2021-06-05;"Dose One";"2";40
2021-06-05;"Dose One";"3";39
2021-06-05;"Dose One";"4";40
2021-06-05;"Dose Two";"0";82
2021-06-05;"Dose Two";"1";105
2021-06-05;"Dose Two";"2";80
2021-06-05;"Dose Two";"3";66
2021-06-05;"Dose Two";"4";71
2021-06-06;"Dose One";"0";15
2021-06-06;"Dose One";"1";26
2021-06-06;"Dose One";"2";26
2021-06-06;"Dose One";"3";25
2021-06-06;"Dose One";"4";21
2021-06-06;"Dose Two";"0";40
2021-06-06;"Dose Two";"1";48
2021-06-06;"Dose Two";"2";39
2021-06-06;"Dose Two";"3";35
2021-06-06;"Dose Two";"4";33
2021-06-07;"Dose One";"0";135
2021-06-07;"Dose One";"1";120
2021-06-07;"Dose One";"2";100
2021-06-07;"Dose One";"3";99
2021-06-07;"Dose One";"4";103
2021-06-07;"Dose Two";"0";68
2021-06-07;"Dose Two";"1";66
2021-06-07;"Dose Two";"2";75
2021-06-07;"Dose Two";"3";57
2021-06-07;"Dose Two";"4";62
2021-06-08;"Dose One";"0";98
2021-06-08;"Dose One";"1";106
2021-06-08;"Dose One";"2";62
2021-06-08;"Dose One";"3";97
2021-06-08;"Dose One";"4";61
2021-06-08;"Dose Two";"0";156
2021-06-08;"Dose Two";"1";144
2021-06-08;"Dose Two";"2";131
2021-06-08;"Dose Two";"3";116
2021-06-08;"Dose Two";"4";133
2021-06-09;"Dose One";"0";93
2021-06-09;"Dose One";"1";114
2021-06-09;"Dose One";"2";94
2021-06-09;"Dose One";"3";87
2021-06-09;"Dose One";"4";74
2021-06-09;"Dose Two";"0";143
2021-06-09;"Dose Two";"1";145
2021-06-09;"Dose Two";"2";120
2021-06-09;"Dose Two";"3";115
2021-06-09;"Dose Two";"4";126
2021-06-10;"Dose One";"0";109
2021-06-10;"Dose One";"1";113
2021-06-10;"Dose One";"2";117
2021-06-10;"Dose One";"3";97
2021-06-10;"Dose One";"4";78
2021-06-10;"Dose Two";"0";185
2021-06-10;"Dose Two";"1";177
2021-06-10;"Dose Two";"2";127
2021-06-10;"Dose Two";"3";147
2021-06-10;"Dose Two";"4";125
2021-06-11;"Dose One";"0";151
2021-06-11;"Dose One";"1";162
2021-06-11;"Dose One";"2";141
2021-06-11;"Dose One";"3";103
2021-06-11;"Dose One";"4";95
2021-06-11;"Dose Two";"0";143
2021-06-11;"Dose Two";"1";137
2021-06-11;"Dose Two";"2";123
2021-06-11;"Dose Two";"3";106
2021-06-11;"Dose Two";"4";113
2021-06-12;"Dose One";"0";48
2021-06-12;"Dose One";"1";46
2021-06-12;"Dose One";"2";43
2021-06-12;"Dose One";"3";41
2021-06-12;"Dose One";"4";50
2021-06-12;"Dose Two";"0";51
2021-06-12;"Dose Two";"1";70
2021-06-12;"Dose Two";"2";56
2021-06-12;"Dose Two";"3";46
2021-06-12;"Dose Two";"4";66
2021-06-13;"Dose One";"0";24
2021-06-13;"Dose One";"1";26
2021-06-13;"Dose One";"2";33
2021-06-13;"Dose One";"3";13
2021-06-13;"Dose One";"4";22
2021-06-13;"Dose Two";"0";47
2021-06-13;"Dose Two";"1";39
2021-06-13;"Dose Two";"2";35
2021-06-13;"Dose Two";"3";38
2021-06-13;"Dose Two";"4";36
2021-06-14;"Dose One";"0";112
2021-06-14;"Dose One";"1";114
2021-06-14;"Dose One";"2";89
2021-06-14;"Dose One";"3";95
2021-06-14;"Dose One";"4";90
2021-06-14;"Dose Two";"0";61
2021-06-14;"Dose Two";"1";57
2021-06-14;"Dose Two";"2";43
2021-06-14;"Dose Two";"3";33
2021-06-14;"Dose Two";"4";42
2021-06-15;"Dose One";"0";117
2021-06-15;"Dose One";"1";123
2021-06-15;"Dose One";"2";82
2021-06-15;"Dose One";"3";107
2021-06-15;"Dose One";"4";83
2021-06-15;"Dose Two";"0";111
2021-06-15;"Dose Two";"1";105
2021-06-15;"Dose Two";"2";101
2021-06-15;"Dose Two";"3";93
2021-06-15;"Dose Two";"4";92
2021-06-16;"Dose One";"0";115
2021-06-16;"Dose One";"1";125
2021-06-16;"Dose One";"2";93
2021-06-16;"Dose One";"3";89
2021-06-16;"Dose One";"4";89
2021-06-16;"Dose Two";"0";139
2021-06-16;"Dose Two";"1";173
2021-06-16;"Dose Two";"2";150
2021-06-16;"Dose Two";"3";154
2021-06-16;"Dose Two";"4";134
2021-06-17;"Dose One";"0";95
2021-06-17;"Dose One";"1";110
2021-06-17;"Dose One";"2";91
2021-06-17;"Dose One";"3";72
2021-06-17;"Dose One";"4";72
2021-06-17;"Dose Two";"0";165
2021-06-17;"Dose Two";"1";185
2021-06-17;"Dose Two";"2";166
2021-06-17;"Dose Two";"3";159
2021-06-17;"Dose Two";"4";148
2021-06-18;"Dose One";"0";123
2021-06-18;"Dose One";"1";118
2021-06-18;"Dose One";"2";87
2021-06-18;"Dose One";"3";86
2021-06-18;"Dose One";"4";75
2021-06-18;"Dose Two";"0";143
2021-06-18;"Dose Two";"1";192
2021-06-18;"Dose Two";"2";152
2021-06-18;"Dose Two";"3";183
2021-06-18;"Dose Two";"4";139
2021-06-19;"Dose One";"0";66
2021-06-19;"Dose One";"1";47
2021-06-19;"Dose One";"2";35
2021-06-19;"Dose One";"3";47
2021-06-19;"Dose One";"4";31
2021-06-19;"Dose Two";"0";84
2021-06-19;"Dose Two";"1";101
2021-06-19;"Dose Two";"2";95
2021-06-19;"Dose Two";"3";85
2021-06-19;"Dose Two";"4";100
2021-06-20;"Dose One";"0";32
2021-06-20;"Dose One";"1";28
2021-06-20;"Dose One";"2";14
2021-06-20;"Dose One";"3";20
2021-06-20;"Dose One";"4";18
2021-06-20;"Dose Two";"0";75
2021-06-20;"Dose Two";"1";120
2021-06-20;"Dose Two";"2";97
2021-06-20;"Dose Two";"3";67
2021-06-20;"Dose Two";"4";75
2021-06-21;"Dose One";"0";81
2021-06-21;"Dose One";"1";84
2021-06-21;"Dose One";"2";70
2021-06-21;"Dose One";"3";66
2021-06-21;"Dose One";"4";57
2021-06-21;"Dose Two";"0";195
2021-06-21;"Dose Two";"1";223
2021-06-21;"Dose Two";"2";213
2021-06-21;"Dose Two";"3";191
2021-06-21;"Dose Two";"4";175
2021-06-21;"Booster";"3";1
2021-06-22;"Dose One";"0";129
2021-06-22;"Dose One";"1";117
2021-06-22;"Dose One";"2";78
2021-06-22;"Dose One";"3";91
2021-06-22;"Dose One";"4";73
2021-06-22;"Dose Two";"0";260
2021-06-22;"Dose Two";"1";310
2021-06-22;"Dose Two";"2";270
2021-06-22;"Dose Two";"3";278
2021-06-22;"Dose Two";"4";228
2021-06-23;"Dose One";"0";79
2021-06-23;"Dose One";"1";78
2021-06-23;"Dose One";"2";43
2021-06-23;"Dose One";"3";47
2021-06-23;"Dose One";"4";56
2021-06-23;"Dose Two";"0";175
2021-06-23;"Dose Two";"1";218
2021-06-23;"Dose Two";"2";180
2021-06-23;"Dose Two";"3";159
2021-06-23;"Dose Two";"4";155
2021-06-24;"Dose One";"0";21
2021-06-24;"Dose One";"1";19
2021-06-24;"Dose One";"2";10
2021-06-24;"Dose One";"3";20
2021-06-24;"Dose One";"4";13
2021-06-24;"Dose Two";"0";58
2021-06-24;"Dose Two";"1";79
2021-06-24;"Dose Two";"2";60
2021-06-24;"Dose Two";"3";89
2021-06-24;"Dose Two";"4";62
2021-06-25;"Dose One";"0";66
2021-06-25;"Dose One";"1";59
2021-06-25;"Dose One";"2";46
2021-06-25;"Dose One";"3";53
2021-06-25;"Dose One";"4";31
2021-06-25;"Dose Two";"0";198
2021-06-25;"Dose Two";"1";216
2021-06-25;"Dose Two";"2";179
2021-06-25;"Dose Two";"3";215
2021-06-25;"Dose Two";"4";200
2021-06-26;"Dose One";"0";32
2021-06-26;"Dose One";"1";28
2021-06-26;"Dose One";"2";15
2021-06-26;"Dose One";"3";18
2021-06-26;"Dose One";"4";22
2021-06-26;"Dose Two";"0";144
2021-06-26;"Dose Two";"1";187
